Протокол последней работы
Передатчик  Приемник      Время    Отсчет
01h   1  0                  0.000        0
03h   3  0                  0.002        1
01h   1  0                  0.016        2
01h   1  0                  0.016        3
00h   0  0                  0.016        4
01h   1  0                  0.016        5
D4h 212  0                  0.016        6
36h  54  0                  0.016        7

00h   0  0                  0.036        8
7Fh 127  0                  0.036        9 1
7Eh 126  0                  0.036       10 3
BFh 191  0                  0.036       11 1
80h 128  0                  0.036       12
00h   0  0                  0.036       13
23h  35  0                  0.055       14
01h   1  0                  0.055       15
00h   0  0                  0.055       16
00h   0  0                  0.055       17
80h 128  0                  0.055       18


01h   1  0                  0.118       19
03h   3  0                  0.136       20
01h   1  0                  0.136       21
01h   1  0                  0.136       22
00h   0  0                  0.136       23
01h   1  0                  0.136       24
D4h 212  0                  0.136       25
36h  54  0                  0.136       26
00h   0  0                  0.136       27
7Fh 127  0                  0.156       28
7Eh 126  0                  0.156       29
BFh 191  0                  0.156       30
80h 128  0                  0.156       31
00h   0  0                  0.156       32
23h  35  0                  0.156       33
01h   1  0                  0.156       34
00h   0  0                  0.156       35
00h   0  0                  0.176       36
80h 128  0                  0.176       37
01h   1  0                  0.239       38
03h   3  0                  0.257       39
01h   1  0                  0.257       40
01h   1  0                  0.257       41
00h   0  0                  0.257       42
01h   1  0                  0.257       43
D4h 212  0                  0.257       44
36h  54  0                  0.257       45
00h   0  0                  0.257       46
7Fh 127  0                  0.277       47
7Eh 126  0                  0.277       48
BFh 191  0                  0.277       49
80h 128  0                  0.277       50
00h   0  0                  0.277       51
23h  35  0                  0.277       52
01h   1  0                  0.277       53
00h   0  0                  0.277       54
00h   0  0                  0.297       55
80h 128  0                  0.297       56
