Протокол последней работы
Передатчик  Приемник      Время    Отсчет
            01h   1  1     0.000        0
            03h   3  0     0.000        1
            01h   1  1     0.000        2
            01h   1  1     0.000        3
            00h   0  0     0.000        4
            01h   1  1     0.000        5
            D4h 212  0     0.000        6
            36h  54  0     0.000        7
            01h   1  1     0.132        8
            03h   3  0     0.132        9
            02h   2  1     0.132       10
            00h   0  0     0.132       11
            04h   4  1     0.132       12
            B9h 185  1     0.132       13
            87h 135  0     0.132       14
            01h   1  1     0.132       15
            03h   3  0     0.132       16
            01h   1  1     0.132       17
            02h   2  1     0.132       18
            00h   0  0     0.132       19
            01h   1  1     0.132       20
            24h  36  0     0.132       21
            36h  54  0     0.132       22
            01h   1  1     0.273       23
            03h   3  0     0.273       24
            02h   2  1     0.273       25
            00h   0  0     0.273       26
            04h   4  1     0.273       27
            B9h 185  1     0.273       28
            87h 135  0     0.273       29
            01h   1  1     0.273       30
            03h   3  0     0.273       31
            01h   1  1     0.273       32
            03h   3  0     0.273       33
            00h   0  0     0.273       34
            01h   1  1     0.273       35
            75h 117  1     0.273       36
            F6h 246  0     0.273       37
            01h   1  1     0.273       38
            03h   3  0     0.273       39
            02h   2  1     0.273       40
            00h   0  0     0.273       41
            04h   4  1     0.293       42
            B9h 185  1     0.293       43
            87h 135  0     0.293       44
            01h   1  1     0.372       45
            03h   3  0     0.372       46
            00h   0  0     0.372       47
            00h   0  0     0.372       48
            00h   0  0     0.372       49
            01h   1  1     0.372       50
            84h 132  0     0.372       51
            0Ah  10  0     0.372       52
            01h   1  1     0.401       53
            03h   3  0     0.401       54
            02h   2  1     0.401       55
            00h   0  0     0.401       56
            04h   4  1     0.401       57
            B9h 185  1     0.401       58
            87h 135  0     0.401       59
            01h   1  1     0.543       60
            03h   3  0     0.543       61
            00h   0  0     0.543       62
            01h   1  1     0.543       63
            00h   0  0     0.543       64
            01h   1  1     0.543       65
            D5h 213  1     0.543       66
            CAh 202  0     0.543       67
            01h   1  1     0.551       68
            03h   3  0     0.571       69
            02h   2  1     0.571       70
            00h   0  0     0.571       71
            04h   4  1     0.571       72
            B9h 185  1     0.571       73
            87h 135  0     0.571       74
            01h   1  1     0.669       75
            03h   3  0     0.669       76
            00h   0  0     0.669       77
            03h   3  0     0.669       78
            00h   0  0     0.669       79
            01h   1  1     0.669       80
            74h 116  0     0.669       81
            0Ah  10  0     0.669       82
            01h   1  1     0.669       83
            03h   3  0     0.669       84
            02h   2  1     0.689       85
            00h   0  0     0.689       86
            04h   4  1     0.689       87
            B9h 185  1     0.689       88
            87h 135  0     0.689       89
            01h   1  1     0.786       90
            03h   3  0     0.787       91
            00h   0  0     0.787       92
            02h   2  1     0.787       93
            00h   0  0     0.787       94
            01h   1  1     0.787       95
            25h  37  1     0.787       96
            CAh 202  0     0.787       97
            01h   1  1     0.787       98
            03h   3  0     0.787       99
            02h   2  1     0.787      100
            00h   0  0     0.787      101
            04h   4  1     0.806      102
            B9h 185  1     0.806      103
            87h 135  0     0.806      104
