Протокол последней работы
Передатчик  Приемник      Время    Отсчет
            01h   1  0     0.000        0
            03h   3  0     0.000        1
            01h   1  0     0.000        2
            01h   1  0     0.000        3
            00h   0  0     0.000        4
            01h   1  0     0.000        5
            D4h 212  0     0.000        6
            36h  54  0     0.000        7

            01h   1  1     0.160        8
            03h   3  0     0.160        9
            02h   2  1     0.160       10
            00h   0  0     0.160       11
            04h   4  1     0.160       12
            B9h 185  1     0.160       13
            87h 135  0     0.160       14
            01h   1  0     0.160       15
            03h   3  0     0.160       16
            01h   1  0     0.160       17
            02h   2  0     0.160       18
            00h   0  0     0.160       19
            01h   1  0     0.160       20
            24h  36  0     0.160       21
            36h  54  0     0.160       22
            01h   1  1     0.256       23
            03h   3  0     0.256       24
            02h   2  1     0.256       25
            00h   0  0     0.256       26
            04h   4  1     0.256       27
            B9h 185  1     0.256       28
            87h 135  0     0.256       29
            01h   1  0     0.256       30
            03h   3  0     0.256       31
            01h   1  0     0.256       32
            03h   3  0     0.256       33
            00h   0  0     0.256       34
            01h   1  0     0.256       35
            75h 117  0     0.256       36
            F6h 246  0     0.256       37
            01h   1  1     0.380       38
            03h   3  0     0.381       39
            02h   2  1     0.381       40
            00h   0  0     0.381       41
            04h   4  1     0.381       42
            B9h 185  1     0.381       43
            87h 135  0     0.381       44
            01h   1  0     0.381       45
            03h   3  0     0.381       46
            00h   0  0     0.381       47
            00h   0  0     0.381       48
            00h   0  0     0.381       49
            01h   1  0     0.381       50
            84h 132  0     0.381       51
            0Ah  10  0     0.381       52
            01h   1  1     0.483       53
            03h   3  0     0.483       54
            02h   2  1     0.483       55
            00h   0  0     0.483       56
            04h   4  1     0.483       57
            B9h 185  1     0.483       58
            87h 135  0     0.483       59
            01h   1  0     0.483       60
            03h   3  0     0.483       61
            00h   0  0     0.483       62
            01h   1  0     0.483       63
            00h   0  0     0.483       64
            01h   1  0     0.483       65
            D5h 213  0     0.483       66
            CAh 202  0     0.483       67
            01h   1  1     0.483       68
            03h   3  0     0.619       69
            02h   2  1     0.619       70
            00h   0  0     0.619       71
            04h   4  1     0.619       72
            B9h 185  1     0.619       73
            87h 135  0     0.619       74
            01h   1  0     0.619       75
            03h   3  0     0.619       76
            00h   0  0     0.619       77
            03h   3  0     0.619       78
            00h   0  0     0.619       79
            01h   1  0     0.619       80
            74h 116  0     0.619       81
            0Ah  10  0     0.619       82
            01h   1  1     0.741       83
            03h   3  0     0.741       84
            02h   2  1     0.741       85
            00h   0  0     0.741       86
            04h   4  1     0.741       87
            B9h 185  1     0.741       88
            87h 135  0     0.741       89
            01h   1  0     0.741       90
            03h   3  0     0.741       91
            00h   0  0     0.741       92
            02h   2  0     0.741       93
            00h   0  0     0.741       94
            01h   1  0     0.741       95
            25h  37  0     0.741       96
            CAh 202  0     0.741       97
